as_incidence_matrix                                            , Incidence matrix of a bipartite graph                                                                 , https://igraph.org/r/doc/as_incidence_matrix.html             
as_long_data_frame                                             , Convert a graph to a long data frame                                                                  , https://igraph.org/r/doc/as_long_data_frame.html              
as_membership                                                  , Declare a numeric vector as a membership vector                                                       , https://igraph.org/r/doc/as_membership.html                   
as_phylo                                                       , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
as_phylo.communities                                           , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
as_star                                                        , Generate coordinates to place the vertices of a graph in a star-shape                                 , https://igraph.org/r/doc/layout_as_star.html                  
as_tree                                                        , The Reingold-Tilford graph layout algorithm                                                           , https://igraph.org/r/doc/layout_as_tree.html                  
atlas                                                          , Create a graph from the Graph Atlas                                                                   , https://igraph.org/r/doc/graph_from_atlas.html                
attribute.combination                                          , How igraph functions handle attributes when the graph changes                                         , https://igraph.org/r/doc/igraph-attribute-combination.html    
attributes                                                     , List names of graph attributes                                                                        , https://igraph.org/r/doc/graph_attr_names.html                
authority.score                                                , Kleinberg's authority centrality scores.                                                              , https://igraph.org/r/doc/authority_score.html                 
authority_score                                                , Kleinberg's authority centrality scores.                                                              , https://igraph.org/r/doc/authority_score.html                 
autocurve.edges                                                , Optimal edge curvature when plotting graphs                                                           , https://igraph.org/r/doc/curve_multiple.html                  
automorphisms                                                  , Number of automorphisms                                                                               , https://igraph.org/r/doc/automorphisms.html                   
average.path.length                                            , Shortest (directed or undirected) paths between vertices                                              , https://igraph.org/r/doc/distances.html                       
ba.game                                                        , Generate scale-free graphs according to the Barabasi-Albert model                                     , https://igraph.org/r/doc/sample_pa.html                       
barabasi.game                                                  , Generate scale-free graphs according to the Barabasi-Albert model                                     , https://igraph.org/r/doc/sample_pa.html                       
betweenness                                                    , Vertex and edge betweenness centrality                                                                , https://igraph.org/r/doc/betweenness.html                     
betweenness.estimate                                           , Vertex and edge betweenness centrality                                                                , https://igraph.org/r/doc/betweenness.html                     
bfs                                                            , Breadth-first search                                                                                  , https://igraph.org/r/doc/bfs.html                             
bibcoupling                                                    , Cocitation coupling                                                                                   , https://igraph.org/r/doc/cocitation.html                      
biconnected.components                                         , Biconnected components                                                                                , https://igraph.org/r/doc/biconnected_components.html          
biconnected_components                                         , Biconnected components                                                                                , https://igraph.org/r/doc/biconnected_components.html          
bipartite                                                      , Bipartite random graphs                                                                               , https://igraph.org/r/doc/sample_bipartite.html                
bipartite.mapping                                              , Decide whether a graph is bipartite                                                                   , https://igraph.org/r/doc/bipartite_mapping.html               
bipartite.projection                                           , Project a bipartite graph                                                                             , https://igraph.org/r/doc/bipartite_projection.html            
bipartite.projection.size                                      , Project a bipartite graph                                                                             , https://igraph.org/r/doc/bipartite_projection.html            
bipartite.random.game                                          , Bipartite random graphs                                                                               , https://igraph.org/r/doc/sample_bipartite.html                
bipartite_graph                                                , Create a bipartite graph                                                                              , https://igraph.org/r/doc/make_bipartite_graph.html            
bipartite_mapping                                              , Decide whether a graph is bipartite                                                                   , https://igraph.org/r/doc/bipartite_mapping.html               
bipartite_projection                                           , Project a bipartite graph                                                                             , https://igraph.org/r/doc/bipartite_projection.html            
bipartite_projection_size                                      , Project a bipartite graph                                                                             , https://igraph.org/r/doc/bipartite_projection.html            
blockGraphs                                                    , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
blocks                                                         , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
bonpow                                                         , Find Bonacich Power Centrality Scores of Network Positions                                            , https://igraph.org/r/doc/power_centrality.html                
c.igraph.es                                                    , Concatenate edge sequences                                                                            , https://igraph.org/r/doc/c.igraph.es.html                     
c.igraph.vs                                                    , Concatenate vertex sequences                                                                          , https://igraph.org/r/doc/c.igraph.vs.html                     
callaway.traits.game                                           , Graph generation based on different vertex types                                                      , https://igraph.org/r/doc/sample_traits_callaway.html          
canonical.permutation                                          , Canonical permutation of a graph                                                                      , https://igraph.org/r/doc/canonical_permutation.html           
canonical_permutation                                          , Canonical permutation of a graph                                                                      , https://igraph.org/r/doc/canonical_permutation.html           
categorical_pal                                                , Palette for categories                                                                                , https://igraph.org/r/doc/categorical_pal.html                 
centralization                                                 , Centralization of a graph                                                                             , https://igraph.org/r/doc/centralize.html                      
centralization.betweenness                                     , Centralize a graph according to the betweenness of vertices                                           , https://igraph.org/r/doc/centr_betw.html                      
centralization.betweenness.tmax                                , Theoretical maximum for betweenness centralization                                                    , https://igraph.org/r/doc/centr_betw_tmax.html                 
centralization.closeness                                       , Centralize a graph according to the closeness of vertices                                             , https://igraph.org/r/doc/centr_clo.html                       
centralization.closeness.tmax                                  , Theoretical maximum for closeness centralization                                                      , https://igraph.org/r/doc/centr_clo_tmax.html                  
centralization.degree                                          , Centralize a graph according to the degrees of vertices                                               , https://igraph.org/r/doc/centr_degree.html                    
centralization.degree.tmax                                     , Theoretical maximum for degree centralization                                                         , https://igraph.org/r/doc/centr_degree_tmax.html               
centralization.evcent                                          , Centralize a graph according to the eigenvector centrality of vertices                                , https://igraph.org/r/doc/centr_eigen.html                     
centralization.evcent.tmax                                     , Theoretical maximum for betweenness centralization                                                    , https://igraph.org/r/doc/centr_eigen_tmax.html                
centralize                                                     , Centralization of a graph                                                                             , https://igraph.org/r/doc/centralize.html                      
centralize.scores                                              , Centralization of a graph                                                                             , https://igraph.org/r/doc/centralize.html                      
centr_betw                                                     , Centralize a graph according to the betweenness of vertices                                           , https://igraph.org/r/doc/centr_betw.html                      
centr_betw_tmax                                                , Theoretical maximum for betweenness centralization                                                    , https://igraph.org/r/doc/centr_betw_tmax.html                 
centr_clo                                                      , Centralize a graph according to the closeness of vertices                                             , https://igraph.org/r/doc/centr_clo.html                       
centr_clo_tmax                                                 , Theoretical maximum for closeness centralization                                                      , https://igraph.org/r/doc/centr_clo_tmax.html                  
centr_degree                                                   , Centralize a graph according to the degrees of vertices                                               , https://igraph.org/r/doc/centr_degree.html                    
